Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change,regime
2015-04-01,0.0111553075287278,0.0099318906372099,0.0101387741393495,-0.0023322868646961,-18.27403971354215,-0.2868849420787626,2
2015-04-06,0.0085411337249402,0.0101145958424084,0.0101879987278478,-0.001494490559039,-36.103206380208576,0.157446324607993,2
2015-04-07,4.6121183134830896e-05,0.0100939997215602,0.0093422576965,-0.0015767269101429,-58.85821126302108,0.0121787702862776,2
2015-04-08,0.0062275331572998,0.0091899359065249,0.0093493975468499,-0.0002423978465769,-71.18069661458321,-0.0033681406041228,2
2015-04-09,0.0073058701712128,0.009262640641002,0.0091760831639805,0.0003787821188364,-76.92986653645858,0.0299124993626002,2
2015-04-10,0.0002334809071557,0.0092534351903185,0.0091533082494544,0.0004599462361134,-81.17405598958248,-0.094001279093895,2
2015-04-13,0.0060916874846368,0.0091488157199559,0.0091651115043561,0.0003293595100702,-86.79072265624927,-0.1337369635986251,2
2015-04-16,-0.0145150465251854,0.0091310346719045,0.0093695308288297,0.0003396847574114,-90.63154296874929,0.1614081154037551,2
2015-04-17,-0.0116332322327412,0.0095101850991431,0.0094965645242302,-0.000157492756068,-97.46323242187464,0.0511533265799176,2
2015-04-20,-0.0185181166395568,0.0100067173017908,0.0092253680862115,-0.0016028033265382,-110.45572916666606,-0.0100234718257761,2
2015-04-21,-0.0083621357545242,0.0101051301338155,0.009281009852436,-0.0018060842108578,-123.59575195312571,1.0075019184503915,2
2015-04-22,0.0061818253391529,0.0102076841177986,0.0092996647071938,-0.0012011007969617,-131.82659505208176,-0.8644458485901998,2
2015-04-23,-0.0037319262025762,0.0101227003483938,0.0090360039095692,-0.0010171754507738,-135.50162760416606,-0.0964750023006179,2
2015-04-24,-0.0111414361987288,0.0103715105693957,0.009117971356221,-0.0014574370644468,-140.71331380208358,0.1068977949767127,2
2015-04-27,-0.0110722021738192,0.0105900128717006,0.0091931614158117,-0.0019645380741739,-148.0441569010418,-0.0121705356202551,2
2015-04-28,0.0087033783611285,0.0108560027061471,0.0091979625899762,-0.0014582049849417,-151.13750000000073,0.0179143767995071,2
2015-04-29,-0.0055490174921902,0.0097463384733805,0.0091298066166133,-0.0006175510041352,-145.0783528645843,-0.0848269479730877,2
2015-04-30,-0.0070944957684806,0.0098516639112344,0.0091572298660223,-0.0009677803466536,-140.86004231770676,0.5121962550938928,2
2015-05-04,0.0182220379751438,0.0098814471894904,0.0094761188643263,-0.0009531150861606,-138.53753255208358,-0.7093403417770715,2
2015-05-05,-0.0008585577695799,0.0098796999568738,0.0092704503391058,-0.0009883895462424,-138.77919921875036,0.1661191228700534,2
2015-05-06,-0.0277453653883998,0.0111151016602072,0.0098953574176337,-0.0029334231920988,-151.568359375,0.2985552208275983,2
2015-05-07,-0.0049151341398104,0.0107863763439023,0.0098968762434988,-0.0036062365853363,-170.0442220052082,-0.2600768063598921,2
2015-05-08,0.0165185427140141,0.0116724425104551,0.010157301483365,-0.0027826155087924,-184.61420898437427,0.1249083055934699,2
2015-05-11,0.0161960341674642,0.0122747283879634,0.010398188221787,-0.0022841904582842,-197.6308919270832,0.0474629203473166,2
2015-05-12,-0.0241073419925435,0.0129729503361392,0.0108089498917783,-0.003854851066472,-221.2967122395821,-0.1018943076813401,2
2015-05-13,0.0132623072083406,0.0135052553150983,0.0107914000544193,-0.0032034097514127,-243.693359375,-0.0209797904691945,2
2015-05-14,-0.0013669794296785,0.0133370054231507,0.0107704495499113,-0.0035763430971285,-268.4941894531257,-0.2308290753990403,2
2015-05-15,0.0046279521918878,0.0131968318925299,0.010743712496005,-0.0026191931612748,-284.62753906250146,-0.037797394208217,2
2015-05-18,0.0133809139137836,0.0134798801701952,0.0108143953166555,-0.0013684858539486,-290.6133626302071,0.1359360491961198,2
2015-05-19,-0.0009558345015271,0.0128617649930956,0.0107105891268168,-0.0004903717470471,-287.4049967447918,-0.0581478663576941,2
2015-05-20,0.0068616566932103,0.0128218038733926,0.0107557343831427,0.0002708178753395,-278.6950032552086,-0.1267324420848248,2
2015-05-21,-0.000267153481263,0.0127461952513787,0.0107107749073945,-5.163106568122199e-05,-271.6616861979164,0.1513729002633559,2
2015-05-22,0.0044964894818342,0.0127539464714289,0.0107219652743501,0.0003597897185392,-261.3566731770843,0.2642881641630965,2
2015-05-25,-0.0105413228961067,0.0127261395170971,0.0107664940124102,0.0003897953836704,-250.3841796875004,-0.4344447935000384,2
2015-05-26,-0.0036985237912854,0.0124810515797426,0.0107212630788092,0.000758479302797,-237.18001302083397,-0.0378037455558777,2
2015-05-27,-0.0005697510609127,0.0123418405830604,0.0107191913889542,0.000294822831695,-227.6050130208332,0.3485081244229908,2
2015-05-28,-0.0018734224796336,0.0122774394481141,0.0107183691772493,0.0004786025823228,-216.17167968750076,0.3390584449592459,2
2015-05-29,0.0136876467831972,0.0124805259383482,0.0108188267997269,0.0015177097099067,-199.39417317708285,0.4488494648417506,2
2015-06-01,-2.9643593685729908e-05,0.0118459643399116,0.0105330893508119,0.0006051256314652,-187.4683430989589,-1.091220057880619,2
2015-06-02,-0.0236306089312696,0.013029340769158,0.0107876855458971,-0.0005334769266192,-179.8808268229168,0.1834120694429202,2
2015-06-03,-0.0123814043972364,0.011728495761053,0.0108521801240096,0.0002347211229389,-163.6233235677082,0.1549288899832641,2
2015-06-04,-0.0005471860103022,0.0116680649740139,0.0108189827031818,0.0004531185294143,-146.7558105468761,-0.1025122485846589,2
