Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change,regime,regime_label,cum_return,rolling_max,drawdown,regime_change,regime_block,date,regime_start_date,regime_duration_days
2022-04-18,-0.0174322506303487,0.0102947551859709,0.0142549918004796,0.0005806993183492,266.8117838541657,0.4281887749422238,2,Uncertain / Transition,2.0013308775730048,2.1532226063706577,-0.07054158188208531,True,156,2022-04-18,2022-04-18,1
2022-04-19,-0.0125982039716312,0.009813121120155,0.0142786978353338,-0.0009589830151578,269.6317708333336,0.065103370885947,2,Uncertain / Transition,1.9762758584657634,2.1532226063706577,-0.08217763801168011,False,156,2022-04-19,2022-04-18,2
2022-04-20,0.0104356037788649,0.0098937769242071,0.0143097944108542,5.532519006444447e-05,283.94348958333285,-0.3386170363061731,0,Stable / Bull Market,1.997007475611322,2.1532226063706577,-0.07254945693824123,True,157,2022-04-20,2022-04-20,1
2022-04-21,0.0148311509927678,0.0101222895662976,0.0143950259277571,0.0002221375905306,293.87180989583067,-0.0031507115159236,0,Stable / Bull Market,2.0268461187790368,2.1532226063706577,-0.05869178932903435,False,157,2022-04-21,2022-04-20,2
2022-04-22,-0.0127676127989613,0.0104968601510061,0.0144518655802864,-0.0002141383634078,297.6067708333321,-0.0821779918486466,2,Uncertain / Transition,2.001132631555178,2.1532226063706577,-0.07063365133056693,True,158,2022-04-22,2022-04-22,1
2022-04-25,-0.0127763942010033,0.0108664448356531,0.0141238026072845,-0.0007865192665074,287.4192382812507,0.0483006213382569,2,Uncertain / Transition,1.9757280075301609,2.1532226063706577,-0.08243207103406322,False,158,2022-04-25,2022-04-22,4
2022-04-26,0.0144551408404643,0.0113508191488257,0.0142163639956209,0.0001391427178696,291.09508463541715,-0.0544098423246679,0,Stable / Bull Market,2.0044948476003466,2.1532226063706577,-0.06907217039718788,True,159,2022-04-26,2022-04-26,1
2022-04-27,-0.0094862965799431,0.0115085722309169,0.0142132563025906,-0.0005358996534418,283.1109374999978,0.0152036375898966,2,Uncertain / Transition,1.9855695225299612,2.1532226063706577,-0.07786147300546988,True,160,2022-04-27,2022-04-27,1
2022-04-28,0.0120555478734457,0.0117668940091983,0.0142990020263461,-0.0002321357478896,276.71341145833503,0.1657765373798565,0,Stable / Bull Market,2.0096515201375342,2.1532226063706577,-0.06667730768214356,True,161,2022-04-28,2022-04-28,1
2022-04-29,-0.0082975702003302,0.0116434764397725,0.0142253165362716,-0.0011436627525441,260.88343098958285,0.0718225702996788,2,Uncertain / Transition,1.9930452865431998,2.1532226063706577,-0.0743895774424564,True,162,2022-04-29,2022-04-29,1
2022-05-02,-0.001957832424116,0.011643625153267,0.0141107030024331,-0.0011457387679617,249.5634114583336,-0.1893659414851727,2,Uncertain / Transition,1.9891470551455825,2.1532226063706577,-0.07619999471472715,False,162,2022-05-02,2022-04-29,4
2022-05-04,-0.0232033101901817,0.0122178699477257,0.0143207681857142,-0.0028913615212091,218.29427083333576,0.110165631225244,2,Uncertain / Transition,1.9435236133758846,2.1532226063706577,-0.09738844110884987,False,162,2022-05-04,2022-04-29,6
2022-05-05,0.0003028023644061,0.0108387256433805,0.0142435329870828,-0.0039482386850057,164.3825846354157,-0.1557617644354416,2,Uncertain / Transition,1.9441122060304203,2.1532226063706577,-0.09711508681060209,False,162,2022-05-05,2022-04-29,7
2022-05-06,-0.016402205362178,0.0111900823977805,0.0143831418829779,-0.0045017616367058,105.49257812500218,0.1227036076961172,2,Uncertain / Transition,1.9124845689475265,2.1532226063706577,-0.11180359927063217,False,162,2022-05-06,2022-04-29,8
2022-05-09,-0.0066885009232451,0.0111657025066681,0.0142423812638326,-0.0044174793922426,45.398372395833576,-0.0410993485644682,2,Uncertain / Transition,1.8997355974245078,2.1532226063706577,-0.1177244787399907,False,162,2022-05-09,2022-04-29,11
2022-05-10,-0.0037981728230063,0.0111021018176781,0.0142374118316971,-0.0041331591409459,-7.465006510414241,-0.01854821329294,2,Uncertain / Transition,1.89253375887907,2.1532226063706577,-0.12106915779181282,False,162,2022-05-10,2022-04-29,12
2022-05-11,-0.0045021126418402,0.0107176195939608,0.0141507970606745,-0.0047670273118696,-66.7158203125,0.0042298265391001,2,Uncertain / Transition,1.88403250986776,2.1532226063706577,-0.12501730926772514,False,162,2022-05-11,2022-04-29,13
2022-05-12,-0.0224621478725792,0.0114256329923852,0.0143557770042756,-0.0055816098858917,-130.09912109375,0.1022251094500248,2,Uncertain / Transition,1.8421848467315107,2.1532226063706577,-0.14445220792262323,False,162,2022-05-12,2022-04-29,14
2022-05-13,-0.0016365617019766,0.0114404795052986,0.0142772982451694,-0.0052525638784273,-190.9633138020836,0.1588124819289739,2,Uncertain / Transition,1.839172463211486,2.1532226063706577,-0.14585121957664915,False,162,2022-05-13,2022-04-29,15
2022-05-16,0.003803986233609,0.0116119073207982,0.0137568239786111,-0.0049062470118891,-255.9558268229157,-0.5284090950541653,2,Uncertain / Transition,1.8461819735306737,2.1532226063706577,-0.1425958616315631,False,162,2022-05-16,2022-04-29,18
2022-05-17,0.0259814752129634,0.0131084634751739,0.0136195783479902,-0.0027355607197235,-283.45419921875146,0.3066869118766439,2,Uncertain / Transition,1.894777057101463,2.1532226063706577,-0.12002732485927911,False,162,2022-05-17,2022-04-29,19
2022-05-18,-0.0011692453072036,0.0129033961995504,0.013619308077723,-0.0021641127865021,-301.3400716145843,-0.0180861439077904,2,Uncertain / Transition,1.8925628926222184,2.1532226063706577,-0.1210556274939875,False,162,2022-05-18,2022-04-29,20
2022-05-19,-0.0268910708974037,0.0136622041142711,0.0140211471472274,-0.0040304465203156,-342.7776041666657,0.0778151808972668,2,Uncertain / Transition,1.8423480412146132,2.1532226063706577,-0.14437641711371216,False,162,2022-05-19,2022-04-29,21
