Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change
2022-07-14,-0.0017551946856914542,0.007867261927280211,0.01177693892693651,0.0018470618829979576,-397.4042317708336,-0.02035142766667405
2022-07-15,0.006912014580365188,0.007801866815987113,0.011637694251639305,0.002411555736908118,-337.2292317708343,-0.10506892796076102
2022-07-18,0.014186202470718856,0.00823344142952701,0.01170909476617742,0.0029359973658631393,-275.9209309895832,0.10112414966974474
2022-07-19,0.003804517906147779,0.007368044807715231,0.011619138804558051,0.002194737165080391,-230.610107421875,-0.022652534228249498
2022-07-20,0.010973459265845803,0.006474683435022476,0.011551099217358767,0.0034696217758545776,-163.90009765624927,0.2450052590876414
2022-07-21,0.005095714512164849,0.006344446515733041,0.011515856921860591,0.0032615342685325876,-104.25094401041679,-0.15485416209334388
2022-07-22,0.006853755230166662,0.006253661348375561,0.011439601471474626,0.00314798625695419,-44.48095703125,-0.24377780510404
2022-07-25,-0.005304241963650273,0.006395907107135291,0.011411582559855082,0.002461603478428209,3.3257324218757276,0.10200234270443526
2022-07-26,-0.008887333683346772,0.006879713642304623,0.011461891136717804,0.001959947957102343,44.76236979166606,-0.015252917255268764
2022-07-27,0.00953655956008488,0.006964604249176062,0.011141527437967641,0.0025982348952021993,87.49407552083358,-0.11706283396878947
2022-07-28,0.017145896529526243,0.0076159330992951,0.011360243440827826,0.0035152193981499353,140.8457356770832,0.7089503753873125
2022-07-29,0.013415561413115864,0.00781487643788369,0.011271513781048643,0.004275430218733738,198.70574544270858,0.14748487724932924
2022-08-01,0.010539792401854702,0.007938022654596151,0.011298429783078797,0.004538707094713953,256.637451171875,-0.13376072412420903
2022-08-02,0.0003112792114048116,0.007873598789140698,0.011281113990673365,0.004631689530486972,314.9441080729175,-0.13416818023992
2022-08-03,0.002458783072766921,0.0077285104513692224,0.011258321482061254,0.004191897772898712,364.5107910156257,-0.15605096544185565
2022-08-04,-0.00035377417814128954,0.007708446016114147,0.010823711859414678,0.003728724930635186,400.7324381510407,0.12993347728700136
2022-08-05,0.0008913297215996853,0.007722634299643925,0.010815888367026532,0.003502225122355801,432.6549641927086,0.08913732069724391
2022-08-08,0.007307599012140524,0.007713315766991893,0.010837293260764122,0.0038817853799654766,470.0632812499989,-0.32388641813176156
2022-08-10,0.0005505095416120064,0.007070089706063833,0.010357533376422054,0.004397939429430321,522.6282877604153,0.1961681795685757
2022-08-11,0.007060942140366637,0.006673632752641907,0.010379309752784194,0.00503716860295258,583.6007649739568,-0.004808472159559055
2022-08-12,0.0022145679837284517,0.00651820540629216,0.00969227965626414,0.005235656736423575,640.0965983072929,-0.023737092381489203
2022-08-16,0.007155855032733008,0.006521733082635098,0.009071400434783175,0.005247848759041966,702.914095052085,-inf
2022-08-17,0.006653737907021656,0.006187306623125139,0.009073886826166971,0.004871225530857106,757.37576497396,inf
2022-08-18,0.0006824370229270742,0.006254653914773681,0.009025317848087815,0.004715121486696071,807.6507812499985,0.0041769568988228685
2022-08-19,-0.011090751389954998,0.006994774637353922,0.009120604417616687,0.003611910953906031,840.6532714843743,0.11343694556476835
2022-08-22,-0.015192148554208883,0.008144813279870856,0.009325815704833379,0.0025975178005873444,862.9165852864571,-0.027436563227155125
2022-08-23,0.004950408657946044,0.008103479063880504,0.009247842800930533,0.0025023504719763135,885.4016276041657,-0.006978395381462258
2022-08-24,0.001560393032835227,0.007898198740404662,0.008957860176007998,0.0028455822218005885,918.3732747395807,-0.0862477267043325
2022-08-25,-0.004697196795508722,0.007621312432995924,0.008958642072736072,0.0030550890661924903,954.6716145833343,-0.12939600747331453
2022-08-26,0.002078094793881999,0.007468415191700811,0.008938907367164038,0.0026821658278823467,983.2574218749978,0.14680091145682592
2022-08-29,-0.014109055185943692,0.00755216692857989,0.009120277274171022,0.00111941824210885,991.0074544270828,-0.08489944378648627
2022-08-30,0.025457455427431688,0.008937101371618838,0.009653139205506804,0.0017215129428246414,1001.4766601562515,0.2820517151506783
2022-09-01,-0.012265712506503565,0.009203659764210963,0.009804235467609295,0.0005812376974067278,995.3933268229157,-0.05117983576335781
2022-09-02,-0.00019106884593758132,0.009205120629261772,0.009713106586137795,0.0005561202945396082,986.375,-0.18537320997541715
2022-09-05,0.00717802628935595,0.009316275008696563,0.009723734627071861,0.0007920824553690597,978.431673177085,-0.10696582654338592
2022-09-06,-0.000577619915734608,0.009317858384309118,0.009692935805427128,0.0007808901684893937,972.4866536458358,0.086866627767404
2022-09-07,-0.0017686636555011566,0.009335166849632228,0.009407674126064256,0.0006478904996343517,960.1216634114571,0.34332992452381444
2022-09-08,0.009843902383512463,0.009446956450725772,0.00871297510744331,0.0007747056682029486,940.0650227864608,-0.2355042968864772
2022-09-09,0.0019420477956010656,0.009450342077517562,0.008691142343260544,0.0008442825809024015,919.9741699218757,-0.03454260894897893
2022-09-12,0.005759080279283832,0.009409664629580395,0.008682227365000456,0.0007791894878482614,896.4383300781228,-0.16931001585442665
2022-09-13,0.007426556664034913,0.009522999632553802,0.00813504883637838,0.0010397889218635844,869.8758300781228,0.13007450421946934
2022-09-14,-0.003675845320864187,0.009464692207417752,0.008125184402677895,0.0004982039041837247,833.6299967447885,0.3420631303777166
2022-09-15,-0.0070427023794097186,0.009491332938206497,0.008221008813796012,-0.00018661811013784415,788.1666829427086,-0.23385941151359985
2022-09-16,-0.019575203370476822,0.010428367182559743,0.008430579631986951,-0.001199500129808039,735.3499999999985,0.4810354411669156
2022-09-19,0.005200144374609497,0.010249813692382436,0.008159346136609623,-0.0003849553415798142,691.7242024739571,-0.595414401576682
2022-09-20,0.010948654031257964,0.00992377683416474,0.008186900882363813,0.000922084787693528,670.3417480468743,0.018412487944452306
2022-09-21,-0.005510158516157929,0.009975814895794329,0.008196927799120087,0.0003990564289883293,643.7325683593735,-0.0692372408116718
2022-09-22,-0.005010107310831895,0.010043517285415433,0.008202422077919047,7.05314118049733e-05,615.0126302083336,0.14602934162556702
2022-09-23,-0.01730454089090743,0.01073064278938693,0.008564918364370087,-0.0005598357929649621,580.6384928385414,0.3188696313084854
2022-09-26,-0.018114401349380974,0.01139853279538923,0.008912316732309541,-0.0015694606001281108,533.2218261718735,0.2302827963236804
2022-09-27,-0.0005231876910193474,0.011010112367866642,0.008909636772613281,-0.0008901672253818936,497.4943196614586,-0.31265250140732315
2022-09-28,-0.008787677246935572,0.009213165357531592,0.00899547468002651,-0.0026024238591002566,434.01676432291424,-0.10539138890770143
2022-09-29,-0.0024052250050792126,0.008928264348967657,0.00899016271805971,-0.002109399484029039,381.4025390624993,0.048510791432923396
